Email Address,MEMBER_RATING,OPTIN_TIME,CONFIRM_TIME,GMTOFF,DSTOFF,TIMEZONE,CC,LAST_CHANGED,NOTES,TAGS
lawrence@magicsheets.io,2,2021/10/14 4:57,2021/10/14 4:57,8,8,europe/london,uk,2021/10/14 4:57,,
hello@magicsheets.io,2,2021/4/17 16:06,2021/4/17 16:06,1,2,europe/brussels,be,2021/9/26 12:47,,
gogrogane0@over-blog.com,2,2021/10/14 11:21,2021/10/14 11:21,,,,,2021/10/14 11:21,,"""Add-on Signup"""
ddockery1@dropbox.com,4,2021/5/4 14:30,2021/5/4 14:30,1,2,europe/berlin,de,2021/9/26 12:47,,
abickerdyke2@photobucket.com,2,2021/4/22 16:41,2021/4/22 16:41,1,2,Europe/Brussels,BE,2021/9/26 12:53,,
spaxeford3@fotki.com,2,2021/8/22 20:01,2021/8/22 20:01,,,,,2021/9/26 12:47,,"""Add-on Signup"""
bciementini4@harvard.edu,2,2021/9/26 10:05,2021/9/26 10:05,,,,,2021/9/26 12:47,,"""Add-on Signup"""
dstothert5@dropbox.com,2,2021/9/27 14:20,2021/9/27 14:20,,,,,2021/9/27 14:20,,"""Add-on Signup"""
jbear6@elegantthemes.com,4,2021/5/20 4:45,2021/5/20 4:45,2,3,europe/london,uk,2021/9/26 12:55,,
mkiwitz7@adobe.com,2,2021/6/4 12:08,2021/6/4 12:08,1,2,Europe/Brussels,BE,2021/9/26 12:47,,
lheppner8@ihg.com,4,2021/5/4 17:56,2021/5/4 17:56,1,2,europe/madrid,es,2021/9/26 13:01,,
medghinn9@so-net.ne.jp,3,2021/5/6 3:09,2021/5/6 3:09,1,2,Europe/Brussels,BE,2021/9/26 12:54,,
wditchetta@sfgate.com,3,2021/5/25 17:07,2021/5/25 17:07,1,2,europe/brussels,be,2021/9/26 12:58,,
cblacketb@google.com.au,3,2021/8/25 13:40,2021/8/25 13:40,,,europe/lisbon,pt,2021/9/26 12:47,,"""Add-on Signup"""
kpilgerc@amazon.co.jp,2,2021/9/24 18:38,2021/9/24 18:38,,,,,2021/9/26 12:47,,"""Add-on Signup"""
lseedhoused@fema.gov,2,2021/9/27 6:41,2021/9/27 6:41,,,,,2021/9/27 6:41,,"""Add-on Signup"""
lconrarde@hugedomains.com,2,2021/9/8 11:24,2021/9/8 11:24,,,,,2021/9/26 12:47,,"""Add-on Signup"""
adamantf@mlb.com,2,2021/5/5 2:55,2021/5/5 2:55,1,2,Europe/Brussels,BE,2021/9/26 13:02,,
sgillanig@about.com,2,2021/8/24 23:09,2021/8/24 23:09,,,,,2021/9/26 12:47,,"""Add-on Signup"""
gffrenchh@cdc.gov,3,2021/5/16 2:43,2021/5/16 2:43,1,2,europe/brussels,be,2021/9/26 13:04,,
ifelminghami@csmonitor.com,2,2021/4/22 16:40,2021/4/22 16:40,1,2,Europe/Brussels,BE,2021/9/26 12:49,,
gcarnihanj@plala.or.jp,2,2021/10/8 11:06,2021/10/8 11:06,,,,,2021/10/8 11:06,,"""Add-on Signup"""
lkohnekek@princeton.edu,2,2021/9/20 11:04,2021/9/20 11:04,,,,,2021/9/26 12:47,,"""Add-on Signup"""
ttollidayl@wsj.com,2,2021/4/17 16:20,2021/4/17 16:20,1,2,Europe/Brussels,BE,2021/9/26 13:02,,
mdrakem@soundcloud.com,2,2021/5/8 11:49,2021/5/8 11:49,1,2,Europe/Brussels,BE,2021/9/26 12:50,,
ejakubowiczn@patch.com,2,2021/9/15 9:18,2021/9/15 9:18,,,,,2021/9/26 12:47,,"""Add-on Signup"""
gdeyeo@t.co,3,2021/9/20 1:51,2021/9/20 1:51,,,,,2021/9/26 12:47,,"""Add-on Signup"""
mwoodierp@ask.com,2,2021/4/16 16:33,2021/4/16 16:33,1,2,europe/brussels,be,2021/9/26 12:47,,
rmostynq@addthis.com,2,2021/10/14 5:49,2021/10/14 5:49,,,,,2021/10/14 5:49,,"""Add-on Signup"""
cespinosar@howstuffworks.com,2,2021/9/1 23:47,2021/9/1 23:47,,,,,2021/9/26 12:47,,"""Add-on Signup"""
rbeebiss@yandex.ru,2,2021/5/12 9:54,2021/5/12 9:54,1,2,Europe/Brussels,BE,2021/9/26 13:01,,
jmcpartlingt@goo.ne.jp,2,2021/9/24 13:11,2021/9/24 13:11,,,,,2021/9/26 12:47,,"""Add-on Signup"""
fbasezziu@list-manage.com,4,2021/6/3 18:50,2021/6/3 18:50,1,2,europe/brussels,be,2021/9/26 12:47,,"""Beta user"""
adeportv@aol.com,2,2021/9/17 6:53,2021/9/17 6:53,,,,,2021/9/26 12:47,,"""Add-on Signup"""
ikegginsw@mtv.com,2,2021/7/7 10:22,2021/7/7 10:22,0,1,Europe/London,UK,2021/9/26 12:47,,
slomasnax@lycos.com,3,2021/9/5 19:19,2021/9/5 19:19,0,1,Europe/London,UK,2021/9/26 12:47,,
iwhatlingy@histats.com,2,2021/9/7 4:52,2021/9/7 4:52,,,,,2021/9/26 12:47,,"""Add-on Signup"""
cshallowz@google.com.au,2,2021/8/11 5:25,2021/8/11 5:25,,,,,2021/9/26 12:47,,"""Add-on Signup"""
sberends10@friendfeed.com,2,2021/6/25 5:23,2021/6/25 5:23,,,,,2021/9/26 12:47,,"""Beta user"""
rporkiss11@wikispaces.com,2,2021/9/13 12:39,2021/9/13 12:39,,,,,2021/9/26 12:47,,"""Add-on Signup"""
atonry12@ovh.net,2,2021/5/5 5:07,2021/5/5 5:07,1,2,europe/brussels,be,2021/9/26 12:56,,
tglading13@va.gov,2,2021/9/27 22:58,2021/9/27 22:58,,,,,2021/9/27 22:58,,"""Add-on Signup"""
bshutler14@constantcontact.com,2,2021/7/7 7:20,2021/7/7 7:20,'-5,'-4,America/New_York,US,2021/9/26 12:47,,"""Beta user"""
mclue15@about.com,4,2021/5/14 9:04,2021/5/14 9:04,0,1,europe/london,uk,2021/9/26 13:03,,
jhacard16@com.com,2,2021/9/29 11:18,2021/9/29 11:18,,,,,2021/9/29 11:18,,"""Add-on Signup"""
nacheson17@amazon.de,2,2021/9/6 3:07,2021/9/6 3:07,1,2,europe/brussels,be,2021/9/26 12:47,,"""Add-on Signup"""
ntrenoweth18@photobucket.com,4,2021/5/4 17:45,2021/5/4 17:45,1,2,europe/brussels,be,2021/9/26 12:47,,
brosevear19@tumblr.com,1,2021/4/17 16:01,2021/4/17 16:01,1,2,Europe/Brussels,BE,2021/9/27 7:12,,
eswinfon1a@cloudflare.com,2,2021/10/14 11:58,2021/10/14 11:58,,,,,2021/10/14 11:58,,"""Add-on Signup"""
imccollum1b@pinterest.com,2,2021/5/16 4:50,2021/5/16 4:50,1,2,Europe/Brussels,BE,2021/9/26 12:48,,
vhawkyens1c@globo.com,2,2021/9/24 16:35,2021/9/24 16:35,,,,,2021/9/26 12:47,,"""Add-on Signup"""
ahartshorn1d@theglobeandmail.com,2,2021/5/19 7:05,2021/5/19 7:05,8,8,Asia/Shanghai,CN,2021/9/26 12:48,,
mdakin1e@gmpg.org,3,2021/4/25 5:04,2021/4/25 5:04,1,2,Europe/Brussels,BE,2021/9/26 12:48,,
